post_id,slide,type,field,label,value,unit,change,basis,source_no,source_id,publisher,source_title,source_date,accessed,url
2026-09-24-brief,3,news,viz.calendar,ESCONDIDA 투표,2026-09-28~2026-09-30,,,,2,reu-escondida-union,Reuters,"BHP Escondida mine supervisors' union urges rejection of contract offer, strike looms",2026-09-23,2026-09-24,https://www.mining.com/web/bhp-escondida-mine-supervisors-union-urges-rejection-of-contract-offer-strike-looms/
2026-09-24-brief,3,news,viz.calendar,ESCONDIDA 중재 5일,2026-10-01~2026-10-05 (추정),,,,2,reu-escondida-union,Reuters,"BHP Escondida mine supervisors' union urges rejection of contract offer, strike looms",2026-09-23,2026-09-24,https://www.mining.com/web/bhp-escondida-mine-supervisors-union-urges-rejection-of-contract-offer-strike-looms/
2026-09-24-brief,3,news,viz.calendar,ESCONDIDA +5,2026-10-06~2026-10-10 (추정),,,,2,reu-escondida-union,Reuters,"BHP Escondida mine supervisors' union urges rejection of contract offer, strike looms",2026-09-23,2026-09-24,https://www.mining.com/web/bhp-escondida-mine-supervisors-union-urges-rejection-of-contract-offer-strike-looms/
2026-09-24-brief,3,news,fact,칠레 구리 광산 2곳 파업 찬반 투표,"에스콘디다 노조 집행부, BHP 제안 만장일치 거부",,,,2,reu-escondida-union,Reuters,"BHP Escondida mine supervisors' union urges rejection of contract offer, strike looms",2026-09-23,2026-09-24,https://www.mining.com/web/bhp-escondida-mine-supervisors-union-urges-rejection-of-contract-offer-strike-looms/
2026-09-24-brief,4,news,viz.stats,불가항력 기간 · 3.06 → 9.19,197DAYS (계산값),,,,4,icis-aster,ICIS,Aster Chemicals lifts force majeure on Singapore cracker complex,2026-09-23,2026-09-24,https://www.icis.com/explore/resources/news/2026/09/23/11234548/aster-chemicals-lifts-force-majeure-on-singapore-cracker-complex
2026-09-24-brief,4,news,viz.stats,에틸렌 생산능력,1.1Mt/y,,,,4,icis-aster,ICIS,Aster Chemicals lifts force majeure on Singapore cracker complex,2026-09-23,2026-09-24,https://www.icis.com/explore/resources/news/2026/09/23/11234548/aster-chemicals-lifts-force-majeure-on-singapore-cracker-complex
2026-09-24-brief,4,news,viz.timeline,2026-02-28,미국-이란 전쟁,,,,4,icis-aster,ICIS,Aster Chemicals lifts force majeure on Singapore cracker complex,2026-09-23,2026-09-24,https://www.icis.com/explore/resources/news/2026/09/23/11234548/aster-chemicals-lifts-force-majeure-on-singapore-cracker-complex
2026-09-24-brief,4,news,viz.timeline,2026-03-06,FM 선언,,,,4,icis-aster,ICIS,Aster Chemicals lifts force majeure on Singapore cracker complex,2026-09-23,2026-09-24,https://www.icis.com/explore/resources/news/2026/09/23/11234548/aster-chemicals-lifts-force-majeure-on-singapore-cracker-complex
2026-09-24-brief,4,news,viz.timeline,2026-09-19,해제 (시장 관계자),,,,4,icis-aster,ICIS,Aster Chemicals lifts force majeure on Singapore cracker complex,2026-09-23,2026-09-24,https://www.icis.com/explore/resources/news/2026/09/23/11234548/aster-chemicals-lifts-force-majeure-on-singapore-cracker-complex
2026-09-24-brief,4,news,viz.timeline,2026-09-22,"회사, ICIS에 확인",,,,4,icis-aster,ICIS,Aster Chemicals lifts force majeure on Singapore cracker complex,2026-09-23,2026-09-24,https://www.icis.com/explore/resources/news/2026/09/23/11234548/aster-chemicals-lifts-force-majeure-on-singapore-cracker-complex
2026-09-24-brief,4,news,viz.gauge,가동률 · 시장 관계자,50–60%,,,,4,icis-aster,ICIS,Aster Chemicals lifts force majeure on Singapore cracker complex,2026-09-23,2026-09-24,https://www.icis.com/explore/resources/news/2026/09/23/11234548/aster-chemicals-lifts-force-majeure-on-singapore-cracker-complex
